iso,pre_n,pre_cluster,post_n,post_cluster,full_cluster,note
AE,2,-,5,-,2,pre n=2<50; post n=5<50
AU,36,-,6,-,2,pre n=36<50; post n=6<50
BR,555,2,139,2,2,agree
CA,31,-,44,-,2,pre n=31<50; post n=44<50
CN,387,2,0,-,2,post n=0<50
DE,512,2,172,1,2,DISAGREE
EE,3,-,63,2,2,pre n=3<50
ES,65,2,145,2,2,agree
FI,1622,2,34,-,2,post n=34<50
FR,272,2,1354,2,2,agree
GB,679,2,8,-,2,post n=8<50
IE,840,1,450,1,1,agree
IL,119,2,877,2,2,agree
IN,1718,2,0,-,2,post n=0<50
IT,0,-,1066,2,2,pre n=0<50
JP,528,2,223,2,2,agree
KR,3023,1,274,1,1,agree
MX,1253,2,0,-,2,post n=0<50
NL,934,2,0,-,2,post n=0<50
NO,967,2,7,-,2,post n=7<50
SA,234,2,0,-,2,post n=0<50
SE,385,2,0,-,2,post n=0<50
SG,480,2,13,-,2,post n=13<50
US,1616,2,1595,1,2,DISAGREE
ZA,0,-,1334,2,2,pre n=0<50
