threshold,n_aligned,pct_aligned,KR_tool_pct,KR_ethics_pct,KR_T/E,KR_total,GB_tool_pct,GB_ethics_pct,GB_T/E,GB_total,SG_tool_pct,SG_ethics_pct,SG_T/E,SG_total,FI_tool_pct,FI_ethics_pct,FI_T/E,FI_total,US_tool_pct,US_ethics_pct,US_T/E,US_total,n_meet_3x
0.3,17253,39.3,36.28,34.94,1.04,3878,20.83,20.83,1.0,24,12.75,21.52,0.59,604,21.04,35.07,0.6,1996,9.02,37.58,0.24,10751,0
0.35,12206,27.8,37.64,32.99,1.14,3443,20.83,20.83,1.0,24,13.79,21.75,0.63,515,23.11,31.57,0.73,1679,12.74,36.47,0.35,6545,0
0.4,8608,19.6,39.78,27.7,1.44,2740,20.83,20.83,1.0,24,15.49,21.13,0.73,426,24.2,29.39,0.82,1368,16.89,32.44,0.52,4050,0
0.45,5958,13.6,40.99,22.54,1.82,1903,22.73,18.18,1.25,22,15.32,20.43,0.75,372,25.42,28.13,0.9,1070,21.34,27.06,0.79,2591,0
0.5,4086,9.3,39.33,19.49,2.02,1134,15.79,15.79,1.0,19,17.33,19.0,0.91,300,26.27,25.63,1.02,788,22.22,24.61,0.9,1845,0
