anchor_id,domain,anchor_sentence,status,source
AILIT-O01,Engaging with AI,"Engaging with AI in daily life involves using AI as a tool to access new content, information, or recommendations. These situations require learners to first recognize AI's presence, then evaluate the accuracy and relevance of AI outputs. Learners must develop a fundamental understanding of AI's technical foundations in order to critically analyze its capabilities and limitations.",verbatim,"OECD/EC (2025) Empowering Learners for the Age of AI — Review Draft (May 2025), Domain 1"
AILIT-O02,Creating with AI,"Creating with AI consists of collaborating with an AI system in a creative or problem-solving process. It involves guiding and refining AI output through prompts and feedback, while ensuring the content remains fair and appropriate. It also involves ethical considerations related to content ownership, attribution, and the responsible use of existing materials.",verbatim,"OECD/EC (2025) Empowering Learners for the Age of AI — Review Draft (May 2025), Domain 2"
AILIT-O03,Managing AI,"Managing AI requires intentionally choosing how AI can support and enhance human work. This includes assigning structured tasks to AI, such as organizing information, so humans can focus on areas requiring creativity, empathy, and judgment. Learners who manage AI's actions learn to delegate tasks thoughtfully, guide AI outputs with clear instructions, and assess whether AI's involvement aligns with their goals and values. This domain helps learners build agency, ensuring that AI works for them and that its use remains ethical and human-centered.",verbatim,"OECD/EC (2025) Empowering Learners for the Age of AI — Review Draft (May 2025), Domain 3"
AILIT-O04,Designing AI,"Designing AI empowers learners to understand AI's social and ethical impacts and how AI works by shaping how AI systems function. Through hands-on exploration in an education context, students examine how data, design choices, and model behavior influence the fairness, usefulness, and impact of AI systems. The goal is not to develop commercial products or put them into service, but to build the confidence and capacity to shape AI for human good by understanding the principles underpinning the design and behavior of AI from an early age.",verbatim,"OECD/EC (2025) Empowering Learners for the Age of AI — Review Draft (May 2025), Domain 4"
