anchor_id,domain,anchor_sentence,sentences_used,paragraph_full,status,source
AILIT-O01F,Engage with AI,"Engage with AI is the foundational domain of the framework. It sets a basis for what all learners should know and be able to do as they interact with AI across contexts. This includes identifying and accessing AI systems, understanding the opportunities and risks of AI use, evaluating AI outputs and making decisions about the role and use of AI in daily life. A learner who demonstrates competence in this domain uses AI intentionally and responsibly and reflects on the impacts of AI on themselves, their communities and the environment.",1-4 of 5,"Engage with AI is the foundational domain of the framework. It sets a basis for what all learners should know and be able to do as they interact with AI across contexts. This includes identifying and accessing AI systems, understanding the opportunities and risks of AI use, evaluating AI outputs and making decisions about the role and use of AI in daily life. A learner who demonstrates competence in this domain uses AI intentionally and responsibly and reflects on the impacts of AI on themselves, their communities and the environment. These competences support a foundation for AI literacy that endures as technologies emerge and their usage changes.","verbatim; contiguous initial sentences of the domain-opener paragraph, truncated at the last sentence boundary that fits the encoder's 128-token window (resolved by run_oecd_final.py)","OECD and European Commission (2026) Empowering Learners for the Age of AI: An AI Literacy Framework for Primary and Secondary Education, OECD Publishing, https://doi.org/10.1787/65cd27d4-en, p. 26 (printed page number), domain-opener paragraph"
AILIT-O02F,Create with AI,"Create with AI positions learners as imaginative creators who use AI to explore open-ended questions and develop novel ideas and solutions. This approach unfolds with iterative use of AI tools as learners brainstorm and articulate their ideas, ask questions, reflect and refine AI outputs. In this way, learners use AI as a vehicle to realise, rather than replace, their creative visions. Learners also consider ethical questions related to originality, intellectual property and fair use of AI outputs.",1-4 of 5,"Create with AI positions learners as imaginative creators who use AI to explore open-ended questions and develop novel ideas and solutions. This approach unfolds with iterative use of AI tools as learners brainstorm and articulate their ideas, ask questions, reflect and refine AI outputs. In this way, learners use AI as a vehicle to realise, rather than replace, their creative visions. Learners also consider ethical questions related to originality, intellectual property and fair use of AI outputs. Create with AI prioritises a learner's own ideas as they use tools that can bring those ideas to life, prompt new iterations and bring about opportunities for reflection and learning.","verbatim; contiguous initial sentences of the domain-opener paragraph, truncated at the last sentence boundary that fits the encoder's 128-token window (resolved by run_oecd_final.py)","OECD and European Commission (2026) Empowering Learners for the Age of AI: An AI Literacy Framework for Primary and Secondary Education, OECD Publishing, https://doi.org/10.1787/65cd27d4-en, p. 32 (printed page number), domain-opener paragraph"
AILIT-O03F,Manage AI,"Manage AI positions learners as intentional decision makers who carefully consider how work is delegated from humans to AI tools. Learners compare different AI approaches, break problems into parts and decide when AI should automate or augment tasks so that human effort is focussed on judgement, creativity, relationship building and domain expertise. Throughout this process, learners monitor and adjust AI use to maintain oversight and ensure that AI remains effective, ethical and aligned with human-centred goals.",1-3 of 3,"Manage AI positions learners as intentional decision makers who carefully consider how work is delegated from humans to AI tools. Learners compare different AI approaches, break problems into parts and decide when AI should automate or augment tasks so that human effort is focussed on judgement, creativity, relationship building and domain expertise. Throughout this process, learners monitor and adjust AI use to maintain oversight and ensure that AI remains effective, ethical and aligned with human-centred goals.","verbatim; contiguous initial sentences of the domain-opener paragraph, truncated at the last sentence boundary that fits the encoder's 128-token window (resolved by run_oecd_final.py)","OECD and European Commission (2026) Empowering Learners for the Age of AI: An AI Literacy Framework for Primary and Secondary Education, OECD Publishing, https://doi.org/10.1787/65cd27d4-en, p. 36 (printed page number), domain-opener paragraph"
AILIT-O04F,Shape AI,"Shape AI empowers learners to examine the relationship between the technical underpinnings of AI systems and the human choices that influence their behaviour and impact. Through hands-on, age-appropriate exploration of computer science principles in an educational context, Shape AI compels learners to see AI systems as deliberate and human-driven, rather than inevitable. This draws from a deeper, more technical set of experiences and understandings.",1-3 of 9,"Shape AI empowers learners to examine the relationship between the technical underpinnings of AI systems and the human choices that influence their behaviour and impact. Through hands-on, age-appropriate exploration of computer science principles in an educational context, Shape AI compels learners to see AI systems as deliberate and human-driven, rather than inevitable. This draws from a deeper, more technical set of experiences and understandings. The goal of this domain is not for learners to develop commercial products or put them into service, but to empower young people to create or improve AI systems that reflect human values, diverse perspectives and the common good. In turn, learners who Shape AI come to see themselves as responsible creators, rather than passive consumers. These capabilities can only be realised when learners can reason about the role and influence of AI systems, understand their backgrounds, and can navigate emerging technologies safely and effectively. This may require collaboration with computer science educators, AI-related initiatives and capacity, or community partners. Schools and education systems are encouraged to explore partnerships and cross-curricular approaches that make these competences accessible, even where dedicated technical infrastructure or instruction is not yet in place. This domain is feasible to achieve when learners have the competences of the previous three domains: Engage with AI, Create with AI and Manage AI.","verbatim; contiguous initial sentences of the domain-opener paragraph, truncated at the last sentence boundary that fits the encoder's 128-token window (resolved by run_oecd_final.py)","OECD and European Commission (2026) Empowering Learners for the Age of AI: An AI Literacy Framework for Primary and Secondary Education, OECD Publishing, https://doi.org/10.1787/65cd27d4-en, p. 40 (printed page number), domain-opener paragraph"
